date,ticker,sentiment_earnings,count_earnings,count_positive_earnings,count_negative_earnings,sentiment_product,count_product,count_positive_product,count_negative_product,sentiment_analyst,count_analyst,count_positive_analyst,count_negative_analyst,sentiment_regulatory,count_regulatory,count_positive_regulatory,count_negative_regulatory,sentiment_macroeconomic,count_macroeconomic,count_positive_macroeconomic,count_negative_macroeconomic,sentiment_m&a,count_m&a,count_positive_m&a,count_negative_m&a,has_earnings_news,has_product_news,has_analyst_news,has_regulatory_news,has_macroeconomic_news,has_m&a_news
2025-11-17,META,0.0,0,0,0,0.5159956991962329,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.4625076816536856,1,1,0,0,1,0,0,0,1
2025-11-17,AAPL,0.0,0,0,0,-0.4261306410594167,1,0,1,0.6338756650184223,1,1,0,0.0,0,0,0,0.0,0,0,0,0.47208331422317723,6,6,0,0,1,1,0,0,1
2025-11-17,GOOGL,0.0,0,0,0,-0.6086664121315384,1,0,1,-0.6383728982578185,1,0,1,0.0,0,0,0,-0.5893903864548223,1,0,1,0.2323837032797607,7,4,3,0,1,1,0,1,1
2025-11-17,AMZN,0.0,0,0,0,0.694235814455139,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.6130155521059836,1,1,0,0,1,0,0,0,1
2025-11-17,TSLA,0.0,0,0,0,-0.280607558044002,1,0,1,0.0,0,0,0,0.0,0,0,0,-0.235552978335968,1,0,1,0.7767982976715845,1,1,0,0,1,0,0,1,1
2025-11-17,MSFT,0.0400961947280056,1,1,0,0.0,0,0,0,0.0,0,0,0,0.6393452670161268,1,1,0,0.0,0,0,0,0.5556827744122883,2,2,0,1,0,0,1,0,1
2025-11-16,AAPL,0.0,0,0,0,0.0,0,0,0,-0.3727438474243961,1,0,1,-0.1836064644496323,1,0,1,0.0,0,0,0,0.0,0,0,0,0,0,1,1,0,0
2025-11-16,MSFT,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.056493229198316,1,1,0,0.4296163317885795,1,1,0,0,0,0,0,1,1
2025-11-16,TSLA,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.4202873943244815,1,1,0,0,0,0,0,0,1
2025-11-16,GOOGL,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.5611819147717588,1,1,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0
2025-11-15,META,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,-0.0050135754700082,1,0,1,0,0,0,0,0,1
